80,https://pressbooks.online.ucf.edu/phy2054mev/,http://schema.org,Book,College Physics,en-ca,https://pressbooks.online.ucf.edu/app/uploads/sites/80/2019/06/Screen-Shot-2018-12-28-at-9.14.48-PM.png,Person,OpenStax,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
81,https://pressbooks.online.ucf.edu/phy2054lt/,http://schema.org,Book,College Physics,en-ca,https://pressbooks.online.ucf.edu/app/uploads/sites/81/2019/06/Screen-Shot-2018-12-28-at-9.14.48-PM.png,Person,OpenStax,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
84,https://pressbooks.online.ucf.edu/psc1121/,http://schema.org,Book,Physical Science Lecture Notes,en,https://pressbooks.online.ucf.edu/app/uploads/sites/84/2019/06/Iteractions-tile2.jpg,Person,brueckner,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
86,https://pressbooks.online.ucf.edu/osuniversityphysics/,http://schema.org,Book,University Physics Volume 1,en,https://pressbooks.online.ucf.edu/app/uploads/sites/86/2020/01/University-Physics.png,Person,OpenStax,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
87,https://pressbooks.online.ucf.edu/thermorit/,http://schema.org,Book,Thermodynamics,en,https://pressbooks.online.ucf.edu/app/uploads/sites/87/2020/01/Thermodynamics.png,Person,Andrew Dickerson,CreativeWork,https://creativecommons.org/licenses/by-nc-sa/4.0/,CC BY-NC-SA (Attribution NonCommercial ShareAlike)
88,https://pressbooks.online.ucf.edu/phy2053tjb/,http://schema.org,Book,College Physics,en-ca,https://pressbooks.online.ucf.edu/app/uploads/sites/88/2018/12/Screen-Shot-2018-12-28-at-9.14.48-PM.png,Person,OpenStax,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
90,https://pressbooks.online.ucf.edu/ast2002tjb/,http://schema.org,Book,Astronomy,en-ca,https://pressbooks.online.ucf.edu/app/uploads/sites/90/2018/12/Screen-Shot-2019-04-06-at-2.33.34-PM.png,Person,OpenStax,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
96,https://pressbooks.online.ucf.edu/phy2053bc/,http://schema.org,Book,College Physics,en-ca,https://pressbooks.online.ucf.edu/app/uploads/sites/96/2018/12/Screen-Shot-2018-12-28-at-9.14.48-PM.png,Person,OpenStax,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
99,https://pressbooks.online.ucf.edu/latinamericanhumanities/,http://schema.org,Book,LatinX Humanities,en,https://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,karinacespedes,CreativeWork,https://choosealicense.com/no-license/,All Rights Reserved
101,https://pressbooks.online.ucf.edu/hum2020environmentalhumanities/,http://schema.org,Book,HUM2020 Environmental Humanities,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,karinacespedes,CreativeWork,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA (Attribution ShareAlike)
